"Mandioca, cozida","125.36","524.5","0.58","30.09","0.3","0","1.56"
"Mandioca, crua","151.42","633.53","1.13","36.17","0.3","0","1.88"
"Mandioca, farofa, temperada","405.69","1697.42","2.06","80.3","9.12","0","7.82"
"Mandioca, frita","300.06","1255.43","1.38","50.25","11.2","0","1.87"
"Manjericão, cru","21.15","88.48","1.99","3.64","0.39","0","3.31"
"Maxixe, cru","13.75","57.52","1.39","2.73","0.07","0","2.19"
"Mostarda, folha, crua","18.11","75.76","2.11","3.24","0.17","0","1.89"
"Nhoque, batata, cozido","180.78","756.36","5.86","36.78","1.94","15.08","1.78"
"Nabo, cru","18.19","76.09","1.2","4.15","0.05","0","2.64"
"Palmito, juçara, em conserva","23.2","97.07","1.79","4.33","0.4","0","3.15"
"Palmito, pupunha, em conserva","29.43","123.14","2.46","5.51","0.45","0","2.55"
"Pão, de queijo, assado","363.08","1519.12","5.12","34.24","24.57","67.73","0.56"
"Pão, de queijo, cru","294.54","1232.35","3.65","38.51","13.99","63.05","0.98"
"Pepino, cru","9.53","39.89","0.87","2.04","0","0","1.12"
"Pimentão, amarelo, cru","27.93","116.85","1.22","5.96","0.44","0","1.92"
"Pimentão, verde, cru","21.29","89.06","1.05","4.89","0.15","0","2.56"
"Pimentão, vermelho, cru","23.28","97.41","1.04","5.47","0.15","0","1.59"
"Polvilho, doce","351.23","1469.53","0.43","86.77","0","0","0.24"
"Quiabo, cru","29.94","125.27","1.92","6.37","0.3","0","4.55"
"Rabanete, cru","13.74","57.48","1.39","2.73","0.07","0","2.19"
"Repolho, branco, cru","17.12","71.63","0.88","3.86","0.14","0","1.89"
"Repolho, roxo, cru","30.91","129.32","1.91","7.2","0.06","0","1.97"
"Repolho, roxo, refogado","41.77","174.78","1.8","7.56","1.24","0","1.75"
"Rúcula, crua","13.13","54.95","1.77","2.22","0.11","0","1.74"
"Salsa, crua","33.42","139.85","3.26","5.71","0.61","0","1.85"
"Seleta de legumes, enlatada","56.53","236.54","3.42","12.67","0.35","0","3.09"
"Serralha, crua","30.4","127.18","2.67","4.95","0.74","0","3.52"
"Taioba, crua","34.21","143.13","2.9","5.43","0.93","0","4.45"
"Tomate, com semente, cru","15.34","64.16","1.1","3.14","0.17","0","1.17"
"Tomate, extrato","60.93","254.95","2.43","14.96","0.19","0","2.8"
"Tomate, molho industrializado","38.45","160.86","1.38","7.71","0.9","0","3.12"
"Tomate, purê","27.94","116.89","1.36","6.89","0","0","1.03"
"Tomate, salada","20.55","85.97","0.81","5.12","0","0","2.27"
"Vagem, crua","24.9","104.17","1.79","5.35","0.17","0","2.38"
"Abacate, cru","96.15","402.31","1.24","6.03","8.4","0","6.31"
"Abacaxi, cru","48.32","202.18","0.86","12.33","0.12","0","0.99"
"Abacaxi, polpa, congelada","30.59","128","0.47","7.8","0.11","0","0.33"
"Abiu, cru","62.42","261.18","0.83","14.93","0.7","0","1.7"
"Açaí, polpa, com xarope de guaraná e glucose","110.3","461.49","0.72","21.46","3.66","0","1.72"
"Açaí, polpa, congelada","58.05","242.86","0.8","6.21","3.94","0","2.55"
"Acerola, crua","33.46","140.01","0.91","7.97","0.21","0","1.51"
"Acerola, polpa, congelada","21.94","91.78","0.59","5.54","0","0","0.7"
"Ameixa, calda, enlatada ","182.85","765.03","0.41","46.89","0","0","0.52"
"Ameixa, crua","52.54","219.84","0.77","13.85","0","0","2.43"
"Ameixa, em calda, enlatada, drenada ","177.36","742.07","1.03","47.66","0.28","0","4.55"
"Atemóia, crua","96.97","405.73","0.97","25.33","0.3","0","2.14"
"Banana, da terra, crua","128.02","535.65","1.43","33.67","0.24","0","1.53"
"Banana, doce em barra","280.11","1171.96","2.17","75.67","0.05","0","3.83"
"Banana, figo, crua","105.08","439.67","1.13","27.8","0.14","0","2.8"
"Banana, maçã, crua","86.81","363.19","1.75","22.34","0.06","0","2.59"
"Banana, nanica, crua","91.53","382.96","1.4","23.85","0.12","0","1.95"
"Banana, ouro, crua","112.37","470.14","1.48","29.34","0.21","0","1.95"
"Banana, pacova, crua","77.91","325.97","1.23","20.31","0.08","0","2.03"
"Banana, prata, crua","98.25","411.08","1.27","25.96","0.07","0","2.04"
"Cacau, cru","74.29","310.84","0.95","19.41","0.14","0","2.19"
"Cajá-Manga, cru","45.58","190.71","1.28","11.43","0","0","2.58"
"Cajá, polpa, congelada","26.33","110.17","0.59","6.37","0.17","0","1.36"
"Caju, cru","43.07","180.18","0.97","10.29","0.33","0","1.68"
"Caju, polpa, congelada","36.57","153","0.48","9.35","0.15","0","0.81"
"Caju, suco concentrado, envasado","45.11","188.73","0.4","10.73","0.2","0","0.63"
"Caqui, chocolate, cru","71.35","298.53","0.36","19.33","0.07","0","6.52"
"Carambola, crua","45.74","191.38","0.87","11.48","0.18","0","2.03"
"Ciriguela, crua","75.59","316.29","1.4","18.86","0.36","0","3.9"
"Cupuaçu, cru","49.42","206.78","1.16","10.43","0.95","0","3.12"
"Cupuaçu, polpa, congelada","48.8","204.17","0.84","11.39","0.59","0","1.59"
"Figo, cru","41.45","173.41","0.97","10.25","0.16","0","1.79"
"Figo, enlatado, em calda","184.36","771.37","0.56","50.34","0.15","0","1.98"
"Fruta-pão, crua","67.05","280.52","1.08","17.17","0.19","0","5.55"
"Goiaba, branca, com casca, crua","51.74","216.47","0.9","12.4","0.49","0","6.33"
"Goiaba, doce em pasta","268.96","1125.33","0.58","74.12","0","0","3.73"
"Goiaba, doce, cascão","285.59","1194.9","0.41","78.7","0.1","0","4.37"
"Goiaba, vermelha, com casca, crua","54.17","226.65","1.09","13.01","0.44","0","6.22"
"Graviola, crua","61.62","257.83","0.85","15.84","0.21","0","1.91"
"Graviola, polpa, congelada","38.27","160.14","0.57","9.78","0.14","0","1.19"
"Jabuticaba, crua","58.05","242.89","0.61","15.26","0.13","0","2.3"
"Jaca, crua","87.92","367.86","1.4","22.5","0.27","0","2.39"
"Jambo, cru","26.91","112.6","0.89","6.49","0.07","0","5.07"
"Jamelão, cru","41.01","171.58","0.55","10.63","0.11","0","1.78"
"Kiwi, cru","51.14","213.95","1.34","11.5","0.63","0","2.65"
"Laranja, baía, crua","45.44","190.11","0.98","11.47","0.1","0","1.12"
"Laranja, baía, suco","36.65","153.34","0.65","8.7","0","0","0"
"Laranja, da terra, crua","51.47","215.36","1.08","12.86","0.19","0","3.98"
"Laranja, da terra, suco","40.96","171.36","0.67","9.57","0.14","0","1.03"
"Laranja, lima, crua","45.7","191.21","1.06","11.53","0.08","0","1.78"
"Laranja, lima, suco","39.34","164.58","0.71","9.17","0.12","0","0.42"
"Laranja, pêra, crua","36.77","153.86","1.04","8.95","0.13","0","0.77"
"Laranja, pêra, suco","32.71","136.86","0.74","7.55","0.07","0","0"
"Laranja, valência, crua","46.11","192.92","0.77","11.72","0.16","0","1.73"
"Laranja, valência, suco","36.2","151.45","0.48","8.55","0.12","0","0.42"
"Limão, cravo, suco","14.1","59.01","0.33","5.25","0","0","0"
"Limão, galego, suco","22.23","92.99","0.57","7.32","0.07","0","0"
"Limão, tahiti, cru","31.82","133.13","0.94","11.08","0.14","0","1.18"
"Maçã, Argentina, com casca, crua","62.53","261.63","0.23","16.59","0.25","0","2.03"
"Maçã, Fuji, com casca, crua","55.52","232.28","0.29","15.15","0","0","1.35"
"Macaúba, crua","404.28","1691.52","2.08","13.95","40.66","0","13.44"
"Mamão, doce em calda, drenado","195.63","818.51","0.19","54","0.07","0","1.31"
"Mamão, Formosa, cru","45.34","189.71","0.82","11.55","0.12","0","1.81"
"Mamão, Papaia, cru","40.16","168.02","0.46","10.44","0.12","0","1.04"
"Mamão verde, doce em calda, drenado","209.38","876.03","0.32","57.64","0.1","0","1.23"
"Manga, Haden, crua","63.5","265.69","0.41","16.66","0.26","0","1.58"
"Manga, Palmer, crua","72.49","303.28","0.41","19.35","0.17","0","1.63"
"Manga, polpa, congelada","48.31","202.11","0.38","12.52","0.23","0","1.07"
"Manga, Tommy Atkins, crua","50.69","212.1","0.86","12.77","0.22","0","2.07"
"Maracujá, cru","68.44","286.35","1.99","12.26","2.1","0","1.14"
"Maracujá, polpa, congelada","38.76","162.17","0.81","9.6","0.18","0","0.51"
"Maracujá, suco concentrado, envasado","41.97","175.59","0.77","9.64","0.19","0","0.35"
"Melancia, crua","32.61","136.43","0.88","8.14","0","0","0.12"
"Melão, cru","29.37","122.88","0.68","7.53","0","0","0.25"
